age_group_start,age_group_end,population_perc,population_count,age_mortality_rate_per_1000_2022
0,4,4.795204795,3296896,7
5,9,5.494505495,3839714,0.3
10,14,5.694305694,3977849,0.4
15,19,5.894105894,4044578,0.8
20,24,6.793206793,4719769,1.1
25,29,7.092907093,4753560,1.4
30,34,6.993006993,4581389,1.9
35,39,7.392607393,5062225,2.6
40,44,7.092907093,5190003,3.8
45,49,7.292707293,5256113,5.2
50,54,7.592407592,5126383,6.9
55,59,7.392607393,4513336,9.3
60,64,6.493506494,3521350,12.9
65,69,4.995004995,2780376,19.1
70,100,8.991008992,4893513,53.7
