"00_05","05_10","10_15","15_20","20_25","25_30","30_35","35_40","40_45","45_50","50_55","55_60","60_65","65_70","70_75","75_80"
2.559,0.82628,0.43715,0.32707,0.5079,0.90922,1.18222,1.16161,0.78901,0.5626,0.61376,0.66677,0.51974,0.38101,0.25151,0.16785
1.22758,5.43924,0.91594,0.34667,0.34664,0.76796,1.09935,1.24138,1.1578,0.67943,0.56562,0.60413,0.55659,0.37968,0.24251,0.16797
0.38056,1.914,8.46781,0.73774,0.43904,0.56483,0.74472,1.13577,1.3041,0.89145,0.634,0.47109,0.3734,0.34122,0.26749,0.18131
0.29796,0.42405,2.74772,8.15643,1.07456,0.72509,0.60717,0.93947,1.06954,1.11668,0.74207,0.48578,0.35429,0.26891,0.19955,0.15198
0.36006,0.32634,0.34957,1.42085,2.76251,1.44331,0.92444,0.77855,0.77881,1.01869,0.7847,0.61493,0.35471,0.24333,0.23703,0.17474
0.63061,0.39333,0.31356,0.65075,1.59255,2.77761,1.67488,1.29838,1.08032,1.01305,1.08777,0.79652,0.52811,0.32086,0.21943,0.15987
0.67325,0.67209,0.51128,0.39257,0.88294,1.55703,2.32551,1.69755,1.27111,1.01493,0.91664,0.88577,0.65385,0.36954,0.23283,0.18388
0.69535,0.77443,0.5974,0.59585,0.68328,1.23844,1.57951,2.50486,1.81447,1.22006,0.95632,0.74543,0.70516,0.47903,0.32466,0.19085
0.51105,0.60577,0.69794,0.61913,0.81262,1.08293,1.42912,1.69205,2.28635,1.49204,1.09563,0.59527,0.61122,0.45081,0.31888,0.22532
0.33123,0.36559,0.50021,0.7537,0.81542,0.96933,1.13501,1.35773,1.46505,1.82872,1.23115,0.7531,0.51542,0.3648,0.31401,0.23041
0.30459,0.30352,0.4766,0.61249,0.92255,1.27983,1.12445,1.12362,1.4494,1.61956,1.65044,1.20666,0.69191,0.37338,0.31653,0.24071
0.39863,0.37043,0.42223,0.41429,0.65855,1.15925,1.26807,1.02952,1.09748,0.9828,1.27943,1.60285,1.00721,0.5356,0.30159,0.21448
0.40455,0.33306,0.31083,0.2961,0.48302,0.81983,1.00617,1.09434,0.93492,0.78182,0.79688,1.15698,1.36883,0.76274,0.47036,0.22951
0.30981,0.33006,0.27855,0.23259,0.36513,0.57856,0.84946,0.90325,0.86806,0.599,0.65896,0.87687,0.95609,1.05426,0.48538,0.23645
0.20957,0.30436,0.31656,0.33252,0.29891,0.4986,0.53916,0.83896,0.97223,0.79353,0.65512,0.66617,1.17299,0.9807,1.0011,0.32957
0.26207,0.25338,0.31022,0.27436,0.26108,0.32903,0.50947,0.5995,0.67661,0.78598,0.80756,0.65266,0.53794,0.66927,0.57344,0.33235
