Country,Thailand

"Section I: Demographic indicators"

"1. Key population indicators, 2023[1]"
Indicators,Value
"Population age 60+ (thousands)","16,405"
"Population aged 60+ (% of total population)",22.8
"Percentage of women out of the population aged 60+",55.5
"Percentage of women out of the population aged 80+",61.7
"Life expectancy at birth (years)",79.9
"Median age (years)",40.2
"Total fertility rate (2023)",1.3


"2. Population by age group, selected years[2]"
Thousands
Age,1950,1990,2020,2023,2030,2050
0-14,"8,605","16,571","11,483","10,932","9,588","7,805"
15-64,"11,150","36,308","50,093","49,411","47,124","38,647"
60+,"1,023","3,679","14,548","16,405","20,427","26,020"
65+,656,"2,349","9,900","11,458","15,348","21,428"
80+,82,423,"2,248","2,584","3,683","8,747"
Total,"20,412","55,228","71,476","71,801","72,060","67,880"

Percentage
Age,1950,1990,2020,2023,2030,2050
0-14,42.2,30.0,16.1,15.2,13.3,11.5
15-64,54.6,65.7,70.1,68.8,65.4,56.9
60+,5.0,6.7,20.4,22.8,28.3,38.3
65+,3.2,4.3,13.9,16.0,21.3,31.6
80+,0.4,0.8,3.1,3.6,5.1,12.9


"3. Percentage of total population by age group and sex, selected years[1]"
Year,Sex,"=""0-4""","=""5-9""","=""10-14""",15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1990,M,4.9,5.2,5.3,5.5,5.4,4.9,4.2,3.5,2.7,2.2,1.9,1.5,1.1,0.8,0.5,0.3,0.2,0.1,0,0,0
1990,F,4.7,4.9,5,5.3,5.3,4.9,4.2,3.5,2.7,2.2,2,1.6,1.3,0.9,0.6,0.4,0.3,0.1,0.1,0,0
2020,M,2.5,2.8,2.9,3,3.5,3.6,3.5,3.7,3.5,3.5,3.6,3.5,3.1,2.3,1.6,1,0.7,0.4,0.1,0,0
2020,F,2.3,2.7,2.8,2.9,3.3,3.5,3.5,3.7,3.6,3.8,4,3.9,3.4,2.7,1.9,1.3,1,0.6,0.3,0.1,0
2030,M,2.1,2.2,2.5,2.8,2.9,3,3.4,3.5,3.4,3.5,3.3,3.2,3.2,3,2.5,1.7,1.1,0.5,0.3,0.1,0
2030,F,2,2.1,2.3,2.7,2.8,2.9,3.3,3.5,3.5,3.6,3.5,3.7,3.8,3.6,3.1,2.2,1.5,0.9,0.5,0.2,0.1
2050,M,1.9,2,2.1,2.2,2.3,2.4,2.6,3,3,3.1,3.5,3.4,3.2,3.2,2.8,2.5,2.1,1.5,0.8,0.3,0.1
2050,F,1.8,1.9,1.9,2.1,2.2,2.3,2.5,2.8,2.9,3,3.5,3.6,3.5,3.6,3.4,3.3,3.1,2.4,1.5,0.7,0.3


"4. Percentage of male and female population by age, 2023[1]"
Year,Sex,"=""0-4""","=""5-9""","=""10-14""",15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
2023,M,51.5,51.5,51.5,51.4,51.4,50.9,50.4,49.5,49.5,48,46.7,46.4,46.5,46,45.1,43.5,41.2,37.9,33.4,29.2,22.9
2023,F,48.5,48.5,48.5,48.6,48.6,49.1,49.6,50.5,50.5,52,53.3,53.6,53.5,54,54.9,56.5,58.8,62.1,66.6,70.8,77.1


"5. Proportion of the total population by broad age group, 1950-2050[1]"
Year,0-14,15-64,60+,65+,80+
1950,42.2,54.6,5,3.2,0.4
1955,42.6,54.3,4.7,3,0.4
1960,44.2,52.9,4.7,2.9,0.4
1965,45.3,51.8,4.7,3,0.4
1970,44.7,52.3,4.7,3,0.4
1975,42.5,54.4,4.9,3.2,0.5
1980,38.7,57.9,5.2,3.4,0.5
1985,34.3,62,5.7,3.7,0.6
1990,30,65.7,6.7,4.3,0.8
1995,26.7,68.3,7.8,5,0.8
2000,24.1,69.8,9.5,6.1,0.9
2005,21.3,71.1,11,7.5,1.2
2010,19.3,71.9,13.2,8.8,1.6
2015,17.4,71.6,16.3,11,2.3
2020,16.1,70.1,20.4,13.9,3.1
2025,14.6,67.9,24.5,17.5,3.9
2030,13.3,65.4,28.3,21.3,5.1
2035,12.6,62.7,31.4,24.7,6.8
2040,12.1,60.5,33.9,27.4,8.9
2045,11.8,58.7,36.4,29.5,11.1
2050,11.5,56.9,38.3,31.6,12.9


"6. Proportion of population aged 80 years or over as percentage of population aged 65 years or over, 1950-2050[1]"
Year,"Proportion (%)"
1950,12.4
1955,13.6
1960,13.7
1965,14.9
1970,14.9
1975,14.8
1980,16.1
1985,17.1
1990,18
1995,16.8
2000,14.9
2005,15.5
2010,18.4
2015,21.1
2020,22.7
2025,22.4
2030,24
2035,27.4
2040,32.6
2045,37.6
2050,40.8


"7. Median age of the total population, 1950-2050[1]"
Year,"Age (years)"
1950,17.5
1955,17.4
1960,17
1965,16.3
1970,16.4
1975,17.3
1980,18.9
1985,20.9
1990,23.3
1995,26.9
2000,30.1
2005,32.3
2010,34.5
2015,36.5
2020,38.8
2025,41.2
2030,43.4
2035,45.4
2040,47.3
2045,49
2050,50.7


"8. Life expectancy at birth, male and female, 1950-2050[1]"
Year,M,F
1950,40.9,45.8
1955,44.7,49.7
1960,48.5,53.7
1965,52.2,57.4
1970,55,60.5
1975,58.1,64.6
1980,60.2,68
1985,64.1,71.2
1990,66.8,74.2
1995,66.5,75.7
2000,68.4,76.4
2005,70,77.8
2010,72.1,80.4
2015,73.5,82
2020,75,83.7
2025,76.3,84.4
2030,77.6,85.1
2035,78.7,85.8
2040,79.6,86.5
2045,80.4,87.2
2050,81.2,87.9


"9. Potential old-age support ratio (ages 20-64/age 65+), 1950-2050[1]"
Year,Ratio
1950,13.6
1955,14.3
1960,14.9
1965,14.2
1970,13.8
1975,13.7
1980,13.7
1985,13.7
1990,12.9
1995,11.9
2000,10
2005,8.4
2010,7.3
2015,5.9
2020,4.6
2025,3.6
2030,2.8
2035,2.3
2040,2.1
2045,1.8
2050,1.7


"10. Speed of ageing (Number of years required or expected for percentage of population aged 64 and over to rise from 7 per cent to 14 per cent)[1,2]"
Country,From,To
France,1865,1980
Sweden,1890,1975
"United States of America",1944,2013
Canada,1944,2009
Spain,1947,1992
"Republic of Korea",1998,2017
Thailand,2002,2020


"11. Life expectancy at birth (both sexes), and total fertility rate, 1990-2050[1]"
Year,"Fertility Rate","Life Expectancy"
1990,2.09,70.445
1991,2.047,70.717
1992,2.026,70.885
1993,1.987,71.068
1994,1.945,71.227
1995,1.898,70.948
1996,1.893,71.653
1997,1.864,72.501
1998,1.784,72.862
1999,1.664,72.542
2000,1.612,72.316
2001,1.588,72.613
2002,1.567,72.93
2003,1.568,73.155
2004,1.566,73.08
2005,1.585,73.82
2006,1.571,74.938
2007,1.578,75.187
2008,1.579,75.492
2009,1.567,75.842
2010,1.576,76.131
2011,1.597,76.421
2012,1.586,76.772
2013,1.547,77.083
2014,1.51,77.415
2015,1.469,77.717
2016,1.435,78.049
2017,1.41,78.394
2018,1.378,78.662
2019,1.352,78.975
2020,1.341,79.274
2021,1.331,78.715
2022,1.317,79.68
2023,1.316,79.906
2024,1.31,80.127
2025,1.319,80.349
2026,1.324,80.569
2027,1.332,80.784
2028,1.337,80.999
2029,1.342,81.21
2030,1.348,81.41
2031,1.356,81.607
2032,1.366,81.796
2033,1.366,81.981
2034,1.37,82.157
2035,1.371,82.329
2036,1.379,82.498
2037,1.385,82.665
2038,1.387,82.823
2039,1.39,82.978
2040,1.395,83.137
2041,1.405,83.288
2042,1.408,83.433
2043,1.412,83.58
2044,1.421,83.72
2045,1.426,83.871
2046,1.429,84.013
2047,1.434,84.154
2048,1.437,84.295
2049,1.437,84.432
2050,1.443,84.577


"Section II: Employment and social protection"

Description,Both,Male,Female
"12. Labour force participation rate of people aged 65 years or over, percentage, latest available year[3]",26.4,35.8,19.1
"13. Percentage of older persons covered by social protection systems including floors (SDG 1.3.1), 2020 or latest available year[4]",89.1,,
"14. Legal coverage of contributory mandatory pensions, total, female, male (percentage of working-age population), 2020 or latest available year[4]",32.6,36.9,28.7
"15. Informal employment rate of 65+ (percentage of informal employment out of total employment in that age group)2018[3]",83.4,81,87.1


"Section III: Health"

"16. Life expectancy (LE) versus healthy life expectancy (HALE) at age 60, both sexes, most recent years[5]"
Year,"LE Both sexes"
2000,21.1
2010,23.2
2015,24
2019,24.6


"17. Life expectancy (LE) versus healthy life expectancy (HALE) at age 60, male and female, most recent years[5]"
Year,"LE Female","LE Male"
2000,22.9,19.2
2010,25.2,21
2015,26.2,21.6
2019,27.1,21.9


"18. Out-of-pocket health expenditure as percentage of current health expenditure (CHE), latest available years[5]"
Year,Percentage
2000,34.2
2001,34
2002,27.9
2003,27.2
2004,26.4
2005,27.6
2006,17.7
2007,14.8
2008,14.7
2009,15.9
2010,14.5
2011,13
2012,13.4
2013,12.5
2014,12.9
2015,11.9
2016,10.8
2017,11.8
2018,10.1
2019,8.5
2020,10.5


"19. Suicide rate, per 100,000 population, by sex and age group, latest available year 2019[5]"
Sex,"=""15-24""",25-34,35-44,45-54,55-64,65-74,75-84,85+
"Both sexes",6.8,15.7,11.9,8.2,8.5,11.7,13.9,18.5
Female,1.2,2.7,3,3.4,3.5,5.4,7.4,10.2
Male,12.2,28.6,21.2,13.5,14,19.2,22.7,32.3


Description,Both,Male,Female
"20. Dementia physician density, per 1,000 population, latest available year[5]","0.7 persons",,
"21. Total expenditure on social protection (excluding health), percentage, 2020 or latest available year[4]",3,,


"Section IV: Living arrangements"

"22. Household living arrangements of people aged 65 years or over, latest available years[6]"
Source:,"IPUMS, MICS"
"Living Arrangements",1970,1980,1990,2000,2005,2012,2015,2019
"One person",4.3,4.9,4.6,6.4,7.7,9.7,10.3,12.5
"Couple only",6.4,6.6,8,12.3,13.8,16.4,17.1,21.5
"Couple with children",8.7,9.9,12.4,11.3,8.6,7.9,8.8,9.1
"Single parent with children",3.3,4.2,5.5,6.3,4.4,4.8,6.2,5.7
"Extended family",71.3,68.5,65.9,61.6,64.3,60.3,56,50.5
"Non relatives",6.1,5.9,3.6,2.1,1.2,0.8,1.6,0.8
Unknown,0,0,0,0,0.1,0.2,0,0
"Average household size (number of members)",5.9,5.4,4.8,4.1,3.9,3.6,3.6,3.2


"23. Literacy rate of older persons age 65 years or over, percentage, latest available year 2015[7]"
Sex,Percentage
"Both sexes (of 65+ total population)",78.7
"Male (of 65+ male population)",85.4
"Female (of 65+ female population)",73.3


"24. Internet users, as a percentage of their age group, latest available years[8]"
Year,0-14,15-24,25-74,75+
2010,35.9,50,13.5,0.2
2011,38.3,51.9,14.7,0.7
2012,40.9,61.7,16.7,0.4
2013,54,58.4,18.4,0.4
2014,0,0,0,0
2015,58,76.8,30.1,0.8
2016,61.4,85.9,39.6,1.1
2017,63.4,89.8,46.4,1.7
2018,69.6,91.4,50.9,2.6
2019,73.9,95.5,63.8,5.2
2020,90.2,98.4,76.4,12.5
2021,96.4,99,85.2,23.9
2022,0,0,0,0


Footnote
"[1] United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects 2022, Online Edition."
"[2] Kinsella, Kevin and Wan He (2009). “An Aging World: 2008”. International Population Reports, Issued June 2009: U.S. Department of Health and Human Services and U.S. Department of Commerce. Available at https://www.census.gov/prod/2009pubs/p95-09-1.pdf"
"[3] International Labour Organization, ILOSTAT Data. Available at https://ilostat.ilo.org/data/ (accessed on 3 March 2023)."
"[4] World Social Protection Data Dashboards. Available at https://www.social-protection.org (accessed on 3 March 2023)."
"[5] World Health Organization, Global Health Observatory data repository. Available at https://www.who.int/data/gho (accessed on 3 March 2023)."
"[6] United Nations, Department of Economic and Social Affairs, Population Division (2022). Database on the Households and Living Arrangements of Older Persons 2022. Available at https://www.un.org/development/desa/pd/data/living-arrangements-older-persons (accessed on 3 March 2023)."
"[7] World Bank, Databank. Available at https://databank.worldbank.org/ (accessed on 3 March 2023)."
"[8] ITU (2022). ITU, Digital Development Dashboard. Available at https://www.itu.int/en/ITU-D/Statistics/Dashboards/Pages/Digital-Development.aspx (accessed on 20 Februry 2023)."
