year,month,num_RSV_cases_0_18,adj_RSV_cases_0_4,adj_RSV_cases_5_19,adj_RSV_cases_20_49,adj_RSV_cases_50_64,adj_RSV_cases_65_above
2014,10,252,231,21,16,23,36
2014,11,91,83,8,6,8,13
2014,12,20,18,2,1,2,3
2015,1,26,24,2,2,2,4
2015,2,22,20,2,1,2,3
2015,3,17,16,1,1,2,2
2015,4,13,12,1,1,1,2
2015,5,13,12,1,1,1,2
2015,6,39,36,3,2,4,6
2015,7,85,78,7,5,8,12
2015,8,334,306,28,21,31,48
2015,9,527,482,45,32,49,76
2015,10,462,423,39,28,43,66
2015,11,204,187,17,13,19,29
2015,12,87,80,7,5,8,13
2016,1,39,36,3,2,4,6
2016,2,41,38,3,3,4,6
2016,3,39,36,3,2,4,6
2016,4,24,22,2,1,2,3
2016,5,33,30,3,2,3,5
2016,6,83,76,7,5,8,12
2016,7,358,328,30,22,33,51
2016,8,1137,1041,96,70,105,164
2016,9,1060,970,90,65,98,152
2016,10,603,552,51,37,56,87
2016,11,241,221,20,15,22,35
2016,12,59,54,5,4,5,8
2017,1,44,40,4,3,4,6
2017,2,31,28,3,2,3,4
2017,3,23,21,2,1,2,3
2017,4,13,12,1,1,1,2
2017,5,26,24,2,2,2,4
2017,6,75,69,6,5,7,11
2017,7,228,209,19,14,21,33
2017,8,603,552,51,37,56,87
2017,9,945,865,80,58,87,136
2017,10,798,731,67,49,74,115
2017,11,234,214,20,14,22,34
2017,12,78,71,7,5,7,11
2018,1,37,34,3,2,3,5
2018,2,36,33,3,2,3,5
2018,3,37,34,3,2,3,5
2018,4,34,31,3,2,3,5
2018,5,57,52,5,4,5,8
2018,6,278,255,23,17,26,40
2018,7,930,851,79,57,86,134
2018,8,1964,1798,166,121,182,282
2018,9,1763,1614,149,109,163,254
2018,10,572,524,48,35,53,82
2018,11,137,125,12,8,13,20
2018,12,44,40,4,3,4,6
2019,1,37,34,3,2,3,5
2019,2,31,28,3,2,3,4
2019,3,39,36,3,2,4,6
2019,4,26,24,2,2,2,4
2019,5,37,34,3,2,3,5
2019,6,89,81,8,5,8,13
2019,7,242,222,20,15,22,35
2019,8,633,580,53,39,59,91
2019,9,1231,1127,104,76,114,177
2019,10,919,841,78,57,85,132
2019,11,397,363,34,24,37,57
2019,12,111,102,9,7,10,16
2020,1,85,78,7,5,8,12
2020,2,73,67,6,5,7,11
2020,3,46,42,4,3,4,7
2020,4,3,3,0,0,0,0
2020,5,2,2,0,0,0,0
2020,6,2,2,0,0,0,0
2020,7,16,15,1,1,1,2
2020,8,39,36,3,2,4,6
2020,9,379,347,32,23,35,55
